MOS,y_test_pred,y_test_pred_logistic
25.08,24.56684112548828,23.905259662848373
43.78,35.8318977355957,32.44226922474694
63.4,65.18670654296875,57.52544461381004
60.7,68.68722534179688,60.73507077471673
38.99,37.96474075317383,34.133344304507176
0.21,-1.532285213470459,6.828278580732388
64.68,80.08627319335938,71.4002844917492
22.64,35.40605163574219,32.10740030244722
16.69,36.26852798461914,32.78658154811028
33.8,27.919857025146484,26.37530641754401
69.62,65.63970184326172,57.938736698304325
25.39,28.413700103759766,26.74425935757263
34.66,48.93532943725586,43.181398240135536
64.3,55.24991226196289,48.63430318603305
13.96,8.240690231323242,12.772161848794752
22.47,26.971385955810547,25.67039623941571
12.85,23.527204513549805,23.1518899023161
30.86,30.196680068969727,28.08724143711298
49.85,55.4011344909668,48.766893586060675
47.8,46.86861038208008,41.4339413607845
67.38,68.51966857910156,60.580630126368845
27.86,51.80445098876953,45.63831428011663
32.72,30.660995483398438,28.439763209205353
61.85,57.840267181396484,50.917745866163685
69.0,72.41729736328125,64.19250063742844
82.52,89.71626281738281,80.5788659238855
4.5,-5.9322428703308105,4.327461389522149
76.43,80.90969848632812,72.1806612951258
68.62,80.864013671875,72.1373373242068
33.32,44.1519660949707,39.16648260062942
27.84,34.2457275390625,31.199699846468576
23.3,20.8692684173584,21.252977880308556
36.1,41.45942687988281,36.95332302917393
69.78,81.29754638671875,72.54859316355905
73.71,87.13392639160156,78.1084934682979
68.07,75.83890533447266,67.39360071260833
71.76,66.7187271118164,58.92570648708717
61.12,70.24956512451172,62.178804106987954
55.78,68.95994567871094,60.98660943248669
-0.85,-8.85305404663086,2.7266412590848077
23.58,9.789260864257812,13.763612144481009
28.29,18.039411544799805,19.27447144917806
22.59,44.409461975097656,39.37993465951945
23.61,23.02048110961914,22.786853236378548
31.73,23.189382553100586,22.90837003873068
45.07,48.549373626708984,42.85362016602741
33.02,61.746822357177734,54.40845241682766
