MOS,y_test_pred,y_test_pred_logistic
4.4,1.1531735815183082,3.988400556178267
4.24,1.1587842112839823,4.036879611088242
4.14,1.103657356416336,3.426312351108737
4.14,1.1405582813301471,3.867606838230234
4.12,1.1177867542613635,3.6092874750951984
4.039999999999999,1.1506084673332446,3.9651653783983103
4.02,1.1312189969149502,3.767717506450913
4.02,1.1570693507339016,4.022401618574361
4.0,1.1364486386077572,3.8247325534249397
4.0,1.1396677036478062,3.858461601211966
3.94,1.1249534529869003,3.695892979553093
3.92,1.1257636137682983,3.70539014146947
3.92,1.1135979662037858,3.556622878081919
3.8999999999999995,1.1466896943371705,3.928361920266058
3.88,1.11572801223909,3.583583336928979
3.86,1.0793810565062243,3.086664812783769
3.84,1.117232534620497,3.6024027481048537
3.8200000000000003,1.136182765768032,3.8218998761818814
3.8200000000000003,1.099825791638307,3.374352077211668
3.8,1.1311911380652226,3.767406529081239
3.8,1.122649741895271,3.66855600750912
3.798245614,1.1226360051318853,3.6683915454446536
3.785714286,1.1000173067805743,3.376969136453614
3.78,1.1272328309338502,3.72245592577518
3.78,1.10782049159811,3.4817344236800434
3.7599999999999993,1.1400813093089095,3.862718939717265
3.7599999999999993,1.099070096256757,3.3640061601679667
3.7599999999999993,1.1363163379707721,3.8233238789513373
3.7599999999999993,1.1313270222056997,3.7689226309399895
3.7400000000000007,1.127753248118391,3.7284518301772667
3.7400000000000007,1.1277301287410235,3.7281860115898664
3.7400000000000007,1.1243516555940263,3.688798859689025
3.7400000000000007,1.1294467039782592,3.7477832603503476
3.72,1.0836637477682094,3.147853715269441
3.7,1.1131466952237217,3.550864532592868
3.7,1.1204931760075116,3.642529189601408
3.7,1.1290473745326803,3.743249625966259
3.7,1.1272555842544094,3.722718613211007
3.692946058,1.1184966829087999,3.6180683639691447
3.6799999999999997,1.1133469090317234,3.553421294983913
3.6799999999999997,1.1041367367060497,3.4327514633286365
3.6799999999999997,1.1534358323222458,3.990738041342811
3.66,1.0890618526574336,3.224504075319444
3.66,1.1084567368632614,3.4901013544385826
3.64,1.0996929130168875,3.3725351147663725
3.64,1.1078754097524315,3.4824577421634673
3.64,1.1246275468306108,3.6920552909108766
3.62,1.1206828223334417,3.6448345805306617
3.62,1.100746289648191,3.3869122071449214
3.62,1.0925443244702888,3.2735080342348075
3.6000000000000005,1.0945635516234118,3.301714387709422
3.586872587,1.1124814544061217,3.5423468125480166
3.58,1.1119246338353013,3.535190969479545
3.58,1.1147999618992661,3.5718817880500264
3.58,1.1087368666523636,3.4937761392052566
3.5714285710000007,1.1132922509703973,3.552723615171573
3.56,1.1060457518606475,3.458248148425554
3.56,1.1062702313818114,3.461230609125823
3.56,1.124723569311277,3.6931870217057616
3.54,1.108497754491941,3.4906397777984113
3.54,1.0883992127697877,3.215134947630047
3.52,1.116390960385101,3.591899045775731
3.52,1.081348833411631,3.114806391860072
3.52,1.1210783659809769,3.6496326707132156
3.5,1.1311546865135733,3.7669995199370585
3.5,1.1368789672851562,3.829302278697015
3.48,1.106856558057997,3.4690046595102233
3.48,1.0773334695835306,3.0573547365144376
3.48,1.1276531604805378,3.7273006898037813
3.469230769,1.1023938920762804,3.4092735762567177
3.46,1.106521953235973,3.464571004127878
3.46,1.1122849396984986,3.5398240762048876
3.44,1.1141428513960405,3.5635543056454684
3.44,1.0764761741715247,3.0450798655839515
3.42,1.0969753843365293,3.335173493869691
3.42,1.0885649594393643,3.2174796675077157
3.42,1.1327987247043185,3.7852265434612
3.4,1.0844822315254596,3.1595176574935735
3.4,1.0497890048556857,2.670907798225553
3.38,1.0961528739543875,3.3237929557453665
3.38,1.1163061219032364,3.590836899381079
3.36,1.1080391527426363,3.4846131257369053
